model_name,model_year,trim_variant,body_type,length_mm,width_mm,height_mm,wheelbase_mm,curb_weight_kg,exterior_colors_available,interior_materials_colors,engine_type,displacement_cc,cylinders,horsepower_hp,torque_nm,transmission,drivetrain,acceleration_0_100_s,top_speed_kmh,fuel_consumption_combined,co2_emissions,electric_range_km,infotainment,safety_features,wheel_sizes_available,base_msrp_usd
7 Series,2023,740i,Sedan,5391,1950,1544,3215,2050,"Mineral White, Sophisto Grey, Glacier Silver","Dakota Leather, Sensatec",Petrol,2998,Inline-6 Turbo,381,520,Automatic,RWD,5.2,250,8.8,200,,iDrive 8.0,Full Suite Safety Package,"21 inch, 17 inch",95000
X1,2023,xDrive23i,SUV,4500,1845,1642,2692,1630,"Phytonic Blue, Mineral White, Space Grey","Merino Leather, Leather",Petrol,1998,Inline-4 Turbo,204,300,Automatic,AWD,7.1,225,6.8,155,,iDrive 8.0,Full Suite Safety Package,"19 inch, 20 inch",37000
XM,2023,Base,SUV,5110,2005,1755,3105,2785,"Sunset Orange, Jet Black, Storm Bay","Alcantara, Extended Merino",Plug-in Hybrid,4395,V8 Twin-Turbo + Electric,644,800,Automatic,AWD,4.3,250,1.6,36,88.0,iDrive 8.0,Full Suite Safety Package,"20 inch, 18 inch",160000
i7,2023,xDrive60,Sedan,5391,1950,1544,3215,2715,"Jet Black, Sunset Orange, Phytonic Blue","Dakota Leather, Nappa Leather",Electric,0,Dual Electric Motors,544,745,Single-Speed,AWD,4.7,240,0.0,0,625.0,iDrive 8.5,Full Suite Safety Package,"22 inch, 20 inch",105000
iX1,2023,xDrive30,SUV,4500,1845,1642,2692,1955,"Sunset Orange, Glacier Silver, Midnight Black","Alcantara, Nappa Leather",Electric,0,Dual Electric Motors,313,494,Single-Speed,AWD,5.6,180,0.0,0,438.0,iDrive 8.0,Full Suite Safety Package,"18 inch, 20 inch",48000
XM,2024,Label Red,SUV,5110,2005,1755,3105,2795,"Carbon Black, Melbourne Red, Mineral White","Extended Merino, Alcantara",Plug-in Hybrid,4395,V8 Twin-Turbo + Electric,748,1000,Automatic,AWD,3.8,250,1.7,39,82.0,iDrive 8.5,Full Suite Safety Package,"17 inch, 21 inch",185000
i5,2024,eDrive40,Sedan,5100,1900,1515,3105,2135,"Carbon Black, Mineral White, Barcelona Blue","Dakota Leather, Merino Leather",Electric,0,Electric Motor,340,430,Single-Speed,RWD,6.0,193,0.0,0,582.0,iDrive 8.5,Full Suite Safety Package,"20 inch, 21 inch",68000
1 Series,2025,120i,Hatchback,4361,1800,1459,2670,1500,"Arctic Race Blue, Sophisto Grey, Carbon Black","Extended Merino, Alcantara",Petrol Hybrid,1499,Inline-3 Turbo + 48V,170,280,Automatic,FWD,7.8,225,4.8,110,,iDrive 8.5,Full Suite Safety Package,"21 inch, 22 inch",36000
2 Series Gran Coupe,2025,220i,Sedan,4546,1800,1420,2670,1500,"Storm Bay, Mineral White, Space Grey","Individual Leather, Sensatec",Petrol,1499,Inline-3 Turbo,156,240,Automatic,FWD,8.1,215,5.2,118,,iDrive 8.5,Full Suite Safety Package,"17 inch, 19 inch",37000
3 Series,2025,M3 Competition,Sedan,4794,1903,1433,2857,1730,"Storm Bay, Jet Black, Phytonic Blue","Nappa Leather, Alcantara",Petrol,2993,Inline-6 Twin-Turbo,510,650,Automatic,AWD,3.9,250,10.1,229,,iDrive 8.0,Full Suite Safety Package,"18 inch, 19 inch",70000
5 Series,2025,540i,Sedan,5100,1900,1515,3105,1750,"Midnight Black, Sophisto Grey, Jet Black","Nappa Leather, Merino Leather",Petrol,2998,Inline-6 Turbo,340,500,Automatic,RWD,5.2,250,7.8,178,,iDrive 8.5,Full Suite Safety Package,"21 inch, 20 inch",58000
7 Series,2025,M70 xDrive,Sedan,5391,1950,1544,3215,2200,"Carbon Black, Jet Black, Storm Bay","Dakota Leather, Vernasca Leather",Petrol,4395,V8 Twin-Turbo,650,800,Automatic,AWD,3.7,250,12.5,285,,iDrive 8.5,Full Suite Safety Package,"18 inch, 17 inch",175000
X3,2025,M Competition,SUV,4755,1920,1660,2865,1950,"Jet Black, Space Grey, Arctic Race Blue","Dakota Leather, Extended Merino",Petrol,2993,Inline-6 Twin-Turbo,510,650,Automatic,AWD,3.8,250,10.2,232,,iDrive 8.5,Full Suite Safety Package,"21 inch, 22 inch",72000
X5,2025,M Competition,SUV,4948,2105,1762,2975,2285,"Sunset Orange, Barcelona Blue, Midnight Black","Extended Merino, Individual Leather",Petrol,4395,V8 Twin-Turbo,625,750,Automatic,AWD,3.8,250,12.5,285,,iDrive 8.5,Full Suite Safety Package,"20 inch, 21 inch",95000
